Begin IP Address;End IP Address;Total Count
201.220.144.0;201.220.191.255;12,288
190.3.112.160;190.3.159.255;12,128
190.13.210.184;190.14.1.255;12,104
91.108.188.48;91.108.188.59;12
200.81.112.164;200.81.112.175;12
200.81.114.240;200.81.114.251;12
200.81.118.132;200.81.118.143;12
201.216.209.168;201.216.255.255;11,864
200.80.51.0;200.80.95.255;11,52
190.6.240.0;190.7.28.207;11,472
190.123.80.0;190.123.123.255;11,264
200.105.7.0;200.105.49.255;11,008
200.105.53.0;200.105.95.255;11,008
195.22.220.150;195.22.220.160;11
190.57.192.0;190.57.233.159;10,656
200.80.7.216;200.80.47.255;10,28
181.114.192.0;181.114.231.255;10,24
186.1.208.0;186.1.247.255;10,24
190.151.136.0;190.151.175.255;10,24
200.47.176.0;200.47.215.255;10,24
200.63.0.0;200.63.39.255;10,24
200.85.88.0;200.85.127.255;10,24
181.209.88.104;181.209.127.255;10,136
190.106.152.128;190.106.191.255;10,112
186.64.36.43;186.64.36.52;10
186.0.217.0;186.0.255.255;9,984
181.15.107.208;181.15.146.63;9,84
170.51.76.0;170.51.111.255;9,216
190.14.156.0;190.14.191.255;9,216
190.184.220.0;190.184.255.255;9,216
200.47.220.0;200.47.255.255;9,216
195.22.220.198;195.22.220.206;9
195.22.220.208;195.22.220.216;9
195.22.220.220;195.22.220.228;9
203.180.146.6;203.180.146.14;9
203.180.146.200;203.180.146.208;9
210.128.97.70;210.128.97.78;9
210.128.97.198;210.128.97.206;9
190.7.28.224;190.7.63.255;8,992
216.244.221.0;216.244.255.255;8,96
200.10.96.0;200.10.129.255;8,704
200.32.127.152;200.32.159.255;8,296
23.55.64.0;23.55.95.255;8,192
57.74.128.0;57.74.159.255;8,192
104.65.160.0;104.65.191.255;8,192
161.22.0.0;161.22.31.255;8,192
179.0.224.0;179.0.255.255;8,192
179.60.0.0;179.60.31.255;8,192
179.61.64.0;179.61.95.255;8,192
181.41.224.0;181.41.255.255;8,192
181.114.128.0;181.114.159.255;8,192
181.174.128.0;181.174.159.255;8,192
181.189.192.0;181.189.223.255;8,192
181.199.144.0;181.199.175.255;8,192
181.224.96.0;181.224.127.255;8,192
181.225.0.0;181.225.31.255;8,192
181.225.192.0;181.225.223.255;8,192
186.189.224.0;186.189.255.255;8,192
190.0.96.0;190.0.127.255;8,192
190.0.160.0;190.0.191.255;8,192
190.1.96.0;190.1.127.255;8,192
190.2.96.0;190.2.127.255;8,192
190.5.0.0;190.5.31.255;8,192
190.5.160.0;190.5.191.255;8,192
190.9.0.0;190.9.31.255;8,192
190.11.32.0;190.11.63.255;8,192
190.61.96.0;190.61.127.255;8,192
190.93.192.0;190.93.223.255;8,192
190.94.160.0;190.94.191.255;8,192
190.107.96.0;190.107.127.255;8,192
190.108.32.0;190.108.63.255;8,192
190.108.224.0;190.108.255.255;8,192
190.109.32.0;190.109.63.255;8,192
190.110.224.0;190.110.255.255;8,192
190.115.32.0;190.115.63.255;8,192
190.120.96.0;190.120.127.255;8,192
190.122.128.0;190.122.159.255;8,192
190.122.224.0;190.122.255.255;8,192
190.123.240.0;190.124.15.255;8,192
190.124.128.0;190.124.159.255;8,192
190.211.192.0;190.211.223.255;8,192
198.12.32.0;198.12.63.255;8,192
200.0.224.0;200.0.255.255;8,192
200.1.32.0;200.1.63.255;8,192
200.1.224.0;200.1.255.255;8,192
